group,team,number,player,position,date_of_birth,age,caps,goals,club,is_captain,norm,club_data,Gls,Gls,Ast,Ast,Min,MP
Group D,United States,16,Alex Freeman,DF,2004-08-09,21.0,17,2,Villarreal,False,alex freeman,True,0,0.0,0,0.0,346,9
Group D,United States,17,Malik Tillman,MF,2002-05-28,24.0,30,3,Bayer Leverkusen,False,malik tillman,True,6,0.32,1,0.05,1674,29
Group D,United States,20,Folarin Balogun,FW,2001-07-03,24.0,27,9,Monaco,False,folarin balogun,True,13,0.52,4,0.16,2230,30
Group D,United States,21,Timothy Weah,FW,2000-02-22,26.0,51,7,Marseille,False,timothy weah,True,2,0.08,2,0.08,2253,29
Group D,United States,22,Mark McKenzie,DF,1999-02-25,27.0,29,0,Toulouse,False,mark mckenzie,True,0,0.0,2,0.07,2404,29
Group D,United States,23,Joe Scally,DF,2002-12-31,23.0,26,0,Borussia Mönchengladbach,False,joe scally,True,2,0.07,3,0.1,2608,32
Group E,Ecuador,3,Piero Hincapié,DF,2002-01-09,24.0,52,3,Arsenal,False,piero hincapie,True,1,0.05,2,0.1,1792,25
Group E,Ecuador,3,Piero Hincapié,DF,2002-01-09,24.0,52,3,Arsenal,False,piero hincapie,True,0,0.0,0,0.0,90,1
Group E,Ecuador,6,Willian Pacho,DF,2001-10-16,24.0,34,2,Paris Saint-Germain,False,willian pacho,True,0,0.0,0,0.0,1914,23
Group E,Ecuador,7,Pervis Estupiñán,DF,1998-01-21,28.0,54,5,Milan,False,pervis estupinan,True,1,0.09,1,0.09,1034,19
Group E,Ecuador,10,Kendry Páez,MF,2007-05-04,19.0,26,2,River Plate,False,kendry paez,True,1,0.21,0,0.0,424,15
Group E,Ecuador,20,Nilson Angulo,FW,2003-06-19,22.0,14,2,Sunderland,False,nilson angulo,True,0,0.0,0,0.0,404,8
Group E,Ecuador,23,Moisés Caicedo,MF,2001-11-02,24.0,61,3,Chelsea,False,moises caicedo,True,3,0.1,1,0.03,2795,33
Group E,Ecuador,24,Jeremy Arévalo,FW,2005-03-19,21.0,4,0,VfB Stuttgart,False,jeremy arevalo,True,0,0.0,0,0.0,38,7
Group E,Germany,1,Manuel Neuer,GK,1986-03-27,40.0,124,0,Bayern Munich,False,manuel neuer,True,0,0.0,0,0.0,1859,22
Group E,Germany,2,Antonio Rüdiger,DF,1993-03-03,33.0,82,3,Real Madrid,False,antonio rudiger,True,1,0.06,0,0.0,1490,18
Group E,Germany,3,Waldemar Anton,DF,1996-07-20,29.0,13,0,Borussia Dortmund,False,waldemar anton,True,2,0.06,0,0.0,2880,32
Group E,Germany,4,Jonathan Tah,DF,1996-02-11,30.0,47,1,Bayern Munich,False,jonathan tah,True,2,0.09,1,0.04,2018,28
Group E,Germany,5,Aleksandar Pavlović,MF,2004-05-03,22.0,11,1,Bayern Munich,False,aleksandar pavlovic,True,3,0.18,1,0.06,1462,24
Group E,Germany,6,Joshua Kimmich,DF,1995-02-08,31.0,110,10,Bayern Munich,True,joshua kimmich,True,2,0.08,8,0.32,2280,29
Group E,Germany,7,Kai Havertz,FW,1999-06-11,27.0,58,22,Arsenal,False,kai havertz,True,2,0.31,3,0.46,581,12
Group E,Germany,8,Leon Goretzka,MF,1995-02-06,31.0,70,15,Bayern Munich,False,leon goretzka,True,5,0.23,3,0.14,1947,31
Group E,Germany,9,Jamie Leweling,MF,2001-02-26,25.0,5,1,VfB Stuttgart,False,jamie leweling,True,7,0.27,9,0.34,2367,32
Group E,Germany,10,Jamal Musiala,MF,2003-02-26,23.0,42,9,Bayern Munich,False,jamal musiala,True,3,0.4,4,0.53,683,15
Group E,Germany,11,Nick Woltemade,FW,2002-02-14,24.0,11,4,Newcastle United,False,nick woltemade,True,8,0.38,3,0.14,1902,33
Group E,Germany,11,Nick Woltemade,FW,2002-02-14,24.0,11,4,Newcastle United,False,nick woltemade,True,0,0.0,0,0.0,90,1
Group E,Germany,12,Oliver Baumann,GK,1990-06-02,36.0,13,0,TSG Hoffenheim,False,oliver baumann,True,0,0.0,0,0.0,3060,34
Group E,Germany,13,Pascal Groß,MF,1991-06-15,34.0,18,1,Brighton & Hove Albion,False,pascal gro,True,1,0.06,3,0.17,1636,19
Group E,Germany,13,Pascal Groß,MF,1991-06-15,34.0,18,1,Brighton & Hove Albion,False,pascal gro,True,0,0.0,1,0.15,613,11
Group E,Germany,14,Maximilian Beier,FW,2002-10-17,23.0,9,0,Borussia Dortmund,False,maximilian beier,True,9,0.4,6,0.27,2026,32
Group E,Germany,15,Nico Schlotterbeck,DF,1999-12-01,26.0,27,0,Borussia Dortmund,False,nico schlotterbeck,True,5,0.18,1,0.04,2520,28
Group E,Germany,16,Angelo Stiller,MF,2001-04-04,25.0,8,0,VfB Stuttgart,False,angelo stiller,True,2,0.07,5,0.16,2743,34
Group E,Germany,17,Florian Wirtz,MF,2003-05-03,23.0,41,11,Liverpool,False,florian wirtz,True,5,0.19,3,0.11,2378,33
Group E,Germany,18,Nathaniel Brown,DF,2003-06-16,22.0,5,0,Eintracht Frankfurt,False,nathaniel brown,True,4,0.14,4,0.14,2656,33
Group E,Germany,20,Nadiem Amiri,MF,1996-10-27,29.0,11,1,Mainz 05,False,nadiem amiri,True,12,0.52,2,0.09,2083,26
Group E,Germany,21,Alexander Nübel,GK,1996-09-30,29.0,3,0,VfB Stuttgart,False,alexander nubel,True,0,0.0,1,0.03,3060,34
Group E,Germany,22,David Raum,DF,1998-04-22,28.0,37,1,RB Leipzig,False,david raum,True,3,0.11,7,0.25,2553,30
Group E,Germany,23,Felix Nmecha,MF,2000-10-10,25.0,8,1,Borussia Dortmund,False,felix nmecha,True,2,0.08,3,0.12,2176,29
Group E,Germany,24,Malick Thiaw,DF,2001-08-08,24.0,5,0,Newcastle United,False,malick thiaw,True,4,0.12,0,0.0,2965,35
Group E,Germany,25,Assan Ouédraogo,MF,2006-05-09,20.0,1,1,RB Leipzig,False,assan ouedraogo,True,4,0.38,3,0.28,948,19
Group E,Germany,26,Deniz Undav,FW,1996-07-19,29.0,9,6,VfB Stuttgart,False,deniz undav,True,19,0.76,7,0.28,2241,29
Group E,Ivory Coast,6,Seko Fofana,MF,1995-05-07,31.0,32,7,Porto,False,seko fofana,True,1,0.14,0,0.0,655,12
Group E,Ivory Coast,7,Odilon Kossounou,DF,2001-01-04,25.0,35,0,Atalanta,False,odilon kossounou,True,1,0.09,0,0.0,988,19
Group E,Ivory Coast,9,Ange-Yoan Bonny,FW,2003-10-25,22.0,1,0,Inter Milan,False,ange-yoan bonny,True,5,0.39,4,0.32,1142,33
Group E,Ivory Coast,10,Simon Adingra,FW,2002-01-01,24.0,29,5,Monaco,False,simon adingra,True,1,0.14,0,0.0,653,14
Group E,Ivory Coast,10,Simon Adingra,FW,2002-01-01,24.0,29,5,Monaco,False,simon adingra,True,3,0.32,2,0.21,855,14
Group E,Ivory Coast,11,Yan Diomande,FW,2006-11-14,19.0,10,3,RB Leipzig,False,yan diomande,True,12,0.44,8,0.29,2472,33
Group E,Ivory Coast,12,Elye Wahi,FW,2003-01-02,23.0,2,0,Nice,False,elye wahi,True,5,0.49,1,0.1,922,14
Group E,Ivory Coast,12,Elye Wahi,FW,2003-01-02,23.0,2,0,Nice,False,elye wahi,True,0,0.0,1,0.28,324,10
